stop_id,stop_name,stop_name_en,stop_lat,stop_lon,zone_id,stop_url,stop,icon
PP01,สถานีคลองบางไผ่,Khlong Bang Phai,13.892337,100.408416,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp01.jpg,1,purple_station.png
PP02,สถานีตลาดบางใหญ่,Talad Bang Yai,13.881034,100.409401,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp02.jpg,1250,purple_station.png
PP03,สถานีสามแยกบางใหญ่,Sam Yaek Bang Yai,13.874785,100.419486,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp03.jpg,3000,purple_station.png
PP04,สถานีบางพลู,Bang Phlu,13.875704,100.433925,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp04.jpg,4520,purple_station.png
PP05,สถานีบางรักใหญ่,Bang Rak Yai,13.8766,100.444578,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp05.jpg,5680,purple_station.png
PP06,สถานีบางรักน้อยท่าอิฐ,Bang Rak Noi Tha It,13.874939,100.456102,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp06.jpg,7000,purple_station.png
PP07,สถานีไทรม้า,Sai Ma,13.870599,100.466664,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp07.jpg,8200,purple_station.png
PP08,สถานีสะพานพระนั่งเกล้า,Phra Nangklao Bridge,13.870349,100.480489,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp08.jpg,9700,purple_station.png
PP09,สถานีแยกนนทบุรี 1,Yaek Nonthaburi 1,13.866058,100.494289,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp09.jpg,11300,purple_station.png
PP10,สถานีบางกระสอ,Bang Krasor,13.86162,100.504773,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp10.jpg,12600,purple_station.png
PP11,สถานีศูนย์ราชการนนทบุรี,Nonthaburi Civic Center,13.860215,100.513384,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp11.jpg,13500,purple_station.png
PP12,สถานีกระทรวงสาธารณสุข,Ministry of Public Health,13.848626,100.514893,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp12.jpg,15700,purple_station.png
PP13,สถานีแยกติวานนท์,Yaek Tiwanon,13.839409,100.515188,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp13.jpg,17000,purple_station.png
PP14,สถานีวงศ์สว่าง,Wong Sawang,13.829947,100.526629,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp14.jpg,18600,purple_station.png
PP15,สถานีบางซ่อน,Bang Son,13.820201,100.532592,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp15.jpg,20000,purple_station.png
PP16,สถานีเตาปูน,Tao Poon,13.806205,100.530836,,https://www.bangkokmetro.co.th/web/imgcontent/Image/map_pp16.jpg,21600,purple_station.png
BL01,สถานีท่าพระ,Tha Phra,13.72966,100.47417,,,,
BL02,สถานีจรัญฯ 13,Charan 13,13.74011,100.47084,,,,
BL03,สถานีไฟฉาย,Fai Chai,13.75569,100.46937,,,,
BL04,สถานีบางขุนนนท์,Bang Khun Non,13.76328,100.47334,,,,
BL05,สถานีบางยี่ขัน,Bang Yi Khan,13.77726,100.4852,,,,
BL06,สถานีสิรินธร,Sirindhorn,13.78389,100.49345,,,,
BL07,สถานีบางพลัด,Bang Phlat,13.79247,100.50499,,,,
BL08,สถานีบางอ้อ,Bang O,13.79891,100.50986,,,,
BL09,สถานีบางโพ,Bang Pho,13.8064,100.52097,,,,
