route_name,route_id,trip_id,start_point,start_time,end_point,end_time,length,runtime,direction,speed,calendar
purple,00011,00616,PP01,15:52:01,PP16,16:27:19,21240,,0,1,WD
purple,00011,00816,PP01,16:01:31,PP16,16:36:49,21240,,0,1,WD
purple,00011,00916,PP01,16:11:01,PP16,16:46:19,21240,,0,1,WD
purple,00011,01016,PP01,16:20:31,PP16,16:55:49,21240,,0,1,WD
purple,00011,01216,PP01,16:30:04,PP16,17:03:22,21240,,0,1,WD
purple,00011,01316,PP01,16:36:04,PP16,17:09:22,21240,,0,1,WD
purple,00011,00116,PP01,16:42:04,PP16,17:15:22,21240,,0,1,WD
purple,00011,00316,PP01,16:48:34,PP16,17:21:52,21240,,0,1,WD
purple,00011,01416,PP01,16:54:04,PP16,17:27:22,21240,,0,1,WD
purple,00011,00516,PP01,17:00:04,PP16,17:33:22,21240,,0,1,WD
purple,00011,00616,PP01,17:06:04,PP16,17:39:22,21240,,0,1,WD
purple,00011,01516,PP01,17:12:04,PP16,17:45:22,21240,,0,1,WD
purple,00011,00816,PP01,17:18:04,PP16,17:51:22,21240,,0,1,WD
purple,00011,01616,PP01,17:24:04,PP16,17:57:22,21240,,0,1,WD
purple,00011,00916,PP01,17:28:04,PP16,18:01:22,21240,,0,1,WD
purple,00011,01716,PP01,17:33:42,PP16,18:07:00,21240,,0,1,WD
purple,00011,01016,PP01,17:38:27,PP16,18:11:30,21240,,0,1,WD
purple,00011,01216,PP01,17:42:34,PP16,18:15:52,21240,,0,1,WD
purple,00011,01816,PP01,17:47:11,PP16,18:20:29,21240,,0,1,WD
purple,00011,01316,PP01,17:51:41,PP16,18:24:59,21240,,0,1,WD
purple,00011,00116,PP01,17:56:11,PP16,18:29:29,21240,,0,1,WD
purple,00011,00316,PP01,18:00:41,PP16,18:33:59,21240,,0,1,WD
purple,00011,01916,PP01,18:05:11,PP16,18:38:29,21240,,0,1,WD
purple,00011,01416,PP01,18:09:41,PP16,18:42:59,21240,,0,1,WD
purple,00011,00516,PP01,18:14:11,PP16,18:47:29,21240,,0,1,WD
purple,00011,00616,PP01,18:18:41,PP16,18:51:59,21240,,0,1,WD
purple,00011,02016,PP01,18:23:11,PP16,18:56:29,21240,,0,1,WD
purple,00011,01516,PP01,18:27:41,PP16,19:00:59,21240,,0,1,WD
purple,00011,00816,PP01,18:32:11,PP16,19:05:29,21240,,0,1,WD
purple,00011,01616,PP01,18:36:41,PP16,19:09:59,21240,,0,1,WD
purple,00011,00916,PP01,18:41:11,PP16,19:14:29,21240,,0,1,WD
purple,00011,01716,PP01,18:45:41,PP16,19:18:59,21240,,0,1,WD
purple,00011,01016,PP01,18:50:11,PP16,19:23:29,21240,,0,1,WD
purple,00011,01216,PP01,18:54:41,PP16,19:27:59,21240,,0,1,WD
purple,00011,01816,PP01,18:59:11,PP16,19:32:29,21240,,0,1,WD
purple,00011,01316,PP01,19:03:41,PP16,19:36:59,21240,,0,1,WD
purple,00011,00116,PP01,19:08:11,PP16,19:41:29,21240,,0,1,WD
purple,00011,00316,PP01,19:12:41,PP16,19:45:59,21240,,0,1,WD
purple,00011,01916,PP01,19:17:11,PP16,19:50:29,21240,,0,1,WD
purple,00011,01416,PP01,19:21:41,PP16,19:54:59,21240,,0,1,WD
purple,00011,00516,PP01,19:26:44,PP16,20:02:02,21240,,0,1,WD
purple,00011,02016,PP01,19:33:36,PP16,20:08:54,21240,,0,1,WD
purple,00011,00816,PP01,19:42:17,PP16,20:15:35,21240,,0,1,WD
purple,00011,01616,PP01,19:48:30,PP16,20:23:48,21240,,0,1,WD
purple,00011,01716,PP01,19:56:12,PP16,20:29:30,21240,,0,1,WD
purple,00011,01016,PP01,20:02:54,PP16,20:38:12,21240,,0,1,WD
purple,00011,01816,PP01,20:10:06,PP16,20:45:24,21240,,0,1,WD
purple,00011,00116,PP01,20:18:48,PP16,20:52:06,21240,,0,1,WD
purple,00011,00316,PP01,20:24:30,PP16,20:59:48,21240,,0,1,WD
purple,00011,01416,PP01,20:34:00,PP16,21:09:18,21240,,0,1,WD
purple,00011,00516,PP01,20:43:30,PP16,21:18:48,21240,,0,1,WD
purple,00011,02016,PP01,20:52:00,PP16,21:27:18,21240,,0,1,WD
purple,00011,01616,PP01,21:03:30,PP16,21:36:48,21240,,0,1,WD
purple,00011,01716,PP01,21:11:42,PP16,21:47:00,21240,,0,1,WD
purple,00011,01016,PP01,21:21:12,PP16,21:56:30,21240,,0,1,WD
purple,00011,00116,PP01,21:30:42,PP16,22:06:00,21240,,0,1,WD
purple,00011,00316,PP01,21:40:12,PP16,22:15:30,21240,,0,1,WD
purple,00011,01416,PP01,21:49:42,PP16,22:25:00,21240,,0,1,WD
purple,00011,00516,PP01,21:59:12,PP16,22:34:30,21240,,0,1,WD
purple,00011,02016,PP01,22:08:42,PP16,22:44:00,21240,,0,1,WD
purple,00011,01616,PP01,22:18:12,PP16,22:53:30,21240,,0,1,WD
purple,00011,01716,PP01,22:27:42,PP16,23:03:00,21240,,0,1,WD
purple,00011,01016,PP01,22:37:12,PP16,23:12:30,21240,,0,1,WD
purple,00011,00116,PP01,22:46:42,PP16,23:22:00,21240,,0,1,WD
purple,00012,00101,PP16,06:00:00,PP01,06:32:08,21240,,1,1,WD
purple,00012,00201,PP16,06:04:34,PP01,06:38:31,21240,,1,1,WD
purple,00012,00301,PP16,06:11:24,PP01,06:44:31,21240,,1,1,WD
purple,00012,00401,PP16,06:17:24,PP01,06:50:31,21240,,1,1,WD
purple,00012,00501,PP16,06:23:09,PP01,06:56:26,21240,,1,1,WD
purple,00012,00601,PP16,06:29:24,PP01,07:02:31,21240,,1,1,WD
purple,00012,00701,PP16,06:35:24,PP01,07:08:31,21240,,1,1,WD
purple,00012,00801,PP16,06:41:24,PP01,07:14:31,21240,,1,1,WD
purple,00012,00901,PP16,06:47:24,PP01,07:20:31,21240,,1,1,WD
purple,00012,01001,PP16,06:53:24,PP01,07:26:31,21240,,1,1,WD
purple,00012,01101,PP16,06:59:24,PP01,07:32:31,21240,,1,1,WD
purple,00012,01201,PP16,07:05:24,PP01,07:38:31,21240,,1,1,WD
purple,00012,00101,PP16,07:11:24,PP01,07:44:31,21240,,1,1,WD
purple,00012,00201,PP16,07:17:24,PP01,07:50:31,21240,,1,1,WD
purple,00012,00301,PP16,07:23:24,PP01,07:56:31,21240,,1,1,WD
purple,00012,00401,PP16,07:29:24,PP01,08:02:31,21240,,1,1,WD
purple,00012,00501,PP16,07:35:24,PP01,08:08:31,21240,,1,1,WD
purple,00012,00601,PP16,07:41:24,PP01,08:14:31,21240,,1,1,WD
purple,00012,00701,PP16,07:47:24,PP01,08:20:31,21240,,1,1,WD
purple,00012,00801,PP16,07:53:24,PP01,08:26:31,21240,,1,1,WD
purple,00012,00901,PP16,07:59:24,PP01,08:32:31,21240,,1,1,WD
purple,00012,01001,PP16,08:04:24,PP01,08:39:39,21240,,1,1,WD
purple,00012,01117,PP16,08:11:24,PP01,08:44:31,21240,,1,1,WD
purple,00012,01201,PP16,08:17:24,PP01,08:50:31,21240,,1,1,WD
purple,00012,00101,PP16,08:22:24,PP01,08:57:39,21240,,1,1,WD
purple,00012,00217,PP16,08:28:24,PP01,09:03:39,21240,,1,1,WD
purple,00012,00301,PP16,08:35:24,PP01,09:08:31,21240,,1,1,WD
purple,00012,00417,PP16,08:41:24,PP01,09:14:31,21240,,1,1,WD
purple,00012,00501,PP16,08:47:24,PP01,09:20:31,21240,,1,1,WD
purple,00012,00601,PP16,08:52:49,PP01,09:28:04,21240,,1,1,WD
purple,00012,00717,PP16,08:58:49,PP01,09:34:04,21240,,1,1,WD
purple,00012,00801,PP16,09:04:19,PP01,09:39:34,21240,,1,1,WD
purple,00012,00901,PP16,09:13:19,PP01,09:48:34,21240,,1,1,WD
purple,00012,01001,PP16,09:22:49,PP01,09:58:04,21240,,1,1,WD
purple,00012,01201,PP16,09:32:19,PP01,10:07:34,21240,,1,1,WD
purple,00012,00101,PP16,09:41:49,PP01,10:17:04,21240,,1,1,WD
purple,00012,00301,PP16,09:51:19,PP01,10:26:34,21240,,1,1,WD
purple,00012,00501,PP16,10:00:49,PP01,10:36:04,21240,,1,1,WD
purple,00012,00601,PP16,10:10:19,PP01,10:45:34,21240,,1,1,WD
purple,00012,00801,PP16,10:19:49,PP01,10:55:04,21240,,1,1,WD
purple,00012,00901,PP16,10:29:19,PP01,11:04:34,21240,,1,1,WD
purple,00012,01001,PP16,10:38:49,PP01,11:14:04,21240,,1,1,WD
purple,00012,01201,PP16,10:48:19,PP01,11:23:34,21240,,1,1,WD
purple,00012,00101,PP16,10:57:49,PP01,11:33:04,21240,,1,1,WD
purple,00012,00301,PP16,11:07:19,PP01,11:42:34,21240,,1,1,WD
purple,00012,00501,PP16,11:16:49,PP01,11:52:04,21240,,1,1,WD
purple,00012,00601,PP16,11:26:19,PP01,12:01:34,21240,,1,1,WD
