trip_id,start_time,end_time,headway_secs,exact_times
00101,4:46:03,4:55:33,,
00116,4:55:33,5:58:20,570,
00201,4:50:13,4:59:43,,
00216,4:59:43,6:02:30,570,
00301,5:20:30,5:30:00,,
00316,5:30:00,6:07:18,570,
00401,5:29:30,5:39:00,,
00416,5:39:00,6:14:18,570,
00501,5:38:30,5:48:00,,
00516,5:48:00,6:21:18,570,
00601,5:44:30,5:54:00,,
00616,5:54:00,6:27:18,570,
00701,5:50:30,6:00:00,,
00716,6:00:00,6:33:18,570,
00801,5:56:30,6:06:00,,
00816,6:06:00,6:39:18,570,
00901,6:02:30,6:12:00,,
00916,6:12:00,6:45:18,570,
01001,6:08:30,6:18:00,,
01016,6:18:00,6:51:18,570,
01101,6:14:30,6:24:00,,
01116,6:24:00,6:57:18,570,
01201,6:20:30,6:30:00,,
01216,6:30:00,7:03:18,360,
00116,6:33:52,7:08:50,360,
00216,6:40:20,7:15:18,360,
00316,6:46:20,7:21:18,360,
00416,6:52:20,7:27:18,360,
00516,6:58:20,7:33:18,360,
00616,7:04:20,7:39:18,360,
00716,7:10:20,7:45:18,360,
00816,7:16:20,7:51:18,360,
00916,7:22:20,7:57:18,360,
01016,7:28:20,8:03:18,360,
01116,7:34:20,8:09:18,360,
01216,7:40:20,8:15:18,360,
00116,7:46:20,8:21:18,360,
00216,7:52:20,8:27:18,360,
00316,7:58:20,8:33:18,360,
00416,8:04:20,8:39:18,360,
00516,8:10:20,8:45:18,360,
00616,8:16:20,8:51:18,360,
00716,8:24:41,8:59:39,360,
00816,8:30:41,9:07:42,570,
01016,8:40:11,9:17:12,570,
01116,8:49:41,9:26:42,570,
00116,8:59:11,9:36:12,570,
00316,9:10:44,9:45:42,570,
00416,9:18:11,9:55:12,570,
00616,9:29:44,10:04:42,570,
00716,9:37:11,10:14:12,570,
00816,9:46:41,10:23:42,570,
01016,9:56:11,10:33:12,570,
01116,10:05:41,10:42:42,570,
00116,10:15:11,10:52:12,570,
00316,10:24:41,11:01:42,570,
00416,10:34:11,11:11:12,570,
00616,10:43:41,11:20:42,570,
00716,10:53:11,11:30:12,570,
00816,11:02:41,11:39:42,570,
01016,11:12:11,11:49:12,570,
01116,11:21:41,11:58:42,570,
00116,11:31:11,12:08:12,570,
00316,11:40:41,12:17:42,570,
00416,11:50:11,12:27:12,570,
00616,11:59:41,12:36:42,570,
00716,12:09:11,12:46:12,570,
00816,12:18:41,12:55:42,570,
01016,12:28:11,13:05:12,570,
01116,12:37:41,13:14:42,570,
00116,12:47:11,13:24:12,570,
00316,12:56:41,13:33:42,570,
00416,13:06:11,13:43:12,570,
00616,13:15:41,13:52:42,570,
