no,x,y
320,37.142,427.688
321,37.254,427.688
322,37.366,427.688
323,37.478,427.688
324,37.59,427.688
325,37.702,427.688
326,37.813,427.688
327,37.924,427.688
328,38.037,427.688
329,38.147,427.688
330,38.259,427.688
331,38.37,427.688
332,38.482,427.688
333,38.594,427.688
334,38.706,427.688
335,38.818,427.688
336,38.93,427.688
337,39.042,427.688
338,39.154,427.688
339,39.266,427.688
340,39.378,427.688
341,39.49,427.688
342,39.602,427.688
343,39.713,427.688
344,39.825,427.688
345,39.936,427.688
346,40.048,427.688
347,40.16,427.688
348,40.272,427.688
349,40.383,427.688
350,40.496,427.688
351,40.608,427.688
352,40.719,427.688
353,40.83,427.688
354,40.943,427.688
355,41.054,427.688
356,41.167,427.688
357,41.279,427.688
358,41.391,427.688
359,41.501,427.688
360,41.613,427.688
361,41.726,427.688
362,41.837,427.688
363,41.949,427.688
364,42.06,427.688
365,42.173,427.688
366,42.285,427.688
367,42.395,427.688
368,42.507,427.688
369,42.619,427.688
370,42.73,427.688
371,42.841,427.688
372,42.953,427.688
373,43.064,427.688
374,43.177,427.688
375,43.289,427.688
376,43.4,427.688
377,43.513,427.688
378,43.623,427.688
379,43.736,427.688
380,43.847,427.688
381,43.96,427.688
382,44.071,427.688
383,44.183,427.688
384,44.294,427.688
385,44.407,427.688
386,44.518,427.688
387,44.63,427.688
388,44.743,427.688
389,44.854,427.688
390,44.965,427.688
391,45.078,427.688
392,45.19,427.688
393,45.301,427.688
394,45.413,427.688
395,45.525,427.688
396,45.637,427.688
397,45.749,427.688
398,45.862,427.688
399,45.974,427.688
400,46.086,427.688
401,46.198,427.688
402,46.31,427.688
403,46.421,427.688
404,46.532,427.688
405,46.644,427.688
406,46.755,427.688
407,46.867,427.688
408,46.979,427.688
409,47.09,427.688
410,47.202,427.688
411,47.314,427.688
412,47.426,427.688
413,47.538,427.688
414,47.65,427.688
415,47.761,427.688
416,47.873,427.688
417,47.985,427.688
418,48.096,427.688
419,48.207,427.688
420,48.319,427.688
421,48.431,427.688
422,48.542,427.688
423,48.653,427.688
424,48.765,427.688
425,48.877,427.688
426,48.989,427.688
427,49.1,427.688
428,49.211,427.688
429,49.323,427.688
430,49.434,427.688
431,49.546,427.688
432,49.658,427.688
433,49.77,427.688
434,49.882,427.688
435,49.994,427.688
436,50.107,427.688
437,50.219,427.688
438,50.331,427.688
439,50.442,427.688
440,50.554,427.688
441,50.665,427.688
442,50.776,427.688
443,50.888,427.688
444,50.888,427.688
445,51.015,427.688
446,51.14,427.688
447,51.265,427.688
448,51.391,427.688
449,51.517,427.688
450,51.643,427.688
451,51.768,427.688
452,51.893,427.688
453,52.018,427.688
454,52.144,427.688
455,52.269,427.688
456,52.395,427.688
457,52.521,427.688
458,52.647,427.688
459,52.771,427.688
460,52.897,427.688
461,53.022,427.688
462,53.148,427.688
463,53.274,427.688
464,53.399,427.688
465,53.525,427.688
466,53.651,427.688
467,53.777,427.688
468,53.903,427.688
469,54.029,427.688
470,54.154,427.688
471,54.279,427.688
472,54.405,427.688
473,54.532,427.688
474,54.658,427.688
475,54.785,427.688
476,54.91,427.688
477,55.035,427.688
478,55.161,427.688
479,55.288,427.688
480,55.414,427.688
481,55.541,427.688
482,55.667,427.688
483,55.792,427.688
484,55.918,427.688
485,56.042,427.688
486,56.169,427.688
487,56.294,427.688
488,56.419,427.688
489,56.546,427.688
490,56.671,427.688
491,56.796,427.688
492,56.922,427.688
493,57.047,427.688
494,57.173,427.688
495,57.298,427.688
496,57.424,427.688
497,57.551,427.688
498,57.676,427.688
499,57.802,427.688
500,57.928,427.688
501,58.053,427.688
502,58.179,427.688
503,58.306,427.688
504,58.431,427.688
505,58.556,427.688
506,58.682,427.688
507,58.808,427.688
508,58.934,427.688
509,59.06,427.688
510,59.185,427.688
511,59.311,427.688
512,59.437,427.688
513,59.562,427.688
514,59.687,427.688
515,59.813,427.688
516,59.939,427.688
517,60.064,427.688
518,60.19,427.688
519,60.317,427.688
520,60.442,427.688
521,60.567,427.688
522,60.693,427.688
523,60.818,427.688
524,60.944,427.688
525,61.07,427.688
526,61.195,427.688
527,61.321,427.688
528,61.446,427.688
529,61.571,427.688
530,61.697,427.688
531,61.822,427.688
532,61.947,427.688
533,62.073,427.688
534,62.2,427.688
535,62.325,427.688
536,62.451,427.688
537,62.577,427.688
538,62.702,427.688
539,62.828,427.688
540,62.953,427.688
541,63.079,427.688
542,63.205,427.688
543,63.33,427.688
544,63.455,427.688
545,63.582,427.688
546,63.707,427.688
547,63.833,427.688
548,63.96,427.688
549,64.085,427.688
550,64.211,427.688
551,64.336,427.688
552,64.463,427.688
553,64.588,427.688
554,64.714,427.688
555,64.84,427.688
556,64.967,427.688
557,65.093,427.688
558,65.219,427.688
559,65.344,427.688
560,65.47,427.688
561,65.595,427.688
562,65.721,427.688
563,65.847,427.688
564,65.973,427.688
565,66.098,427.688
566,66.224,427.688
567,66.348,427.688
568,66.474,427.688
569,66.6,427.688
570,66.6,427.688
571,66.732,427.688
