shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
purple_gold,13.575246,100.573783,0
purple_gold,13.578419,100.574958,1
purple_gold,13.586346,100.580782,2
purple_gold,13.594607,100.579316,3
purple_gold,13.593774,100.56927,4
purple_gold,13.593857,100.566157,5
purple_gold,13.59611,100.56313,6
purple_gold,13.632845,100.52978,7
purple_gold,13.633734,100.529045,8
purple_gold,13.634817,100.528541,9
purple_gold,13.640782,100.526166,10
purple_gold,13.649041,100.522873,11
purple_gold,13.665227,100.516465,12
purple_gold,13.666274,100.516026,13
purple_gold,13.666999,100.515588,14
purple_gold,13.667875,100.514689,15
purple_gold,13.668709,100.513395,16
purple_gold,13.680034,100.495361,17
purple_gold,13.684409,100.48903,18
purple_gold,13.688898,100.482796,19
purple_gold,13.689718,100.481768,20
purple_gold,13.690368,100.481377,21
purple_gold,13.691143,100.48119,22
purple_gold,13.691807,100.48125,23
purple_gold,13.692346,100.481429,24
purple_gold,13.73487,100.496061,25
purple_gold,13.736488,100.496598,26
purple_gold,13.7406,100.499657,27
purple_gold,13.745067,100.502629,28
purple_gold,13.746397,100.503061,29
purple_gold,13.750103,100.503987,30
purple_gold,13.755462,100.50529,31
purple_gold,13.755835,100.50522,32
purple_gold,13.756016,100.505133,33
purple_gold,13.756678,100.501855,34
purple_gold,13.760742,100.496634,35
purple_gold,13.76218,100.498278,36
purple_gold,13.765,100.499948,37
purple_gold,13.766928,100.501137,38
purple_gold,13.769705,100.503797,39
purple_gold,13.771129,100.505068,40
purple_gold,13.774546,100.50669,41
purple_gold,13.778344,100.508477,42
purple_gold,13.784835,100.511504,43
purple_gold,13.785465,100.511832,44
purple_gold,13.786245,100.512363,45
purple_gold,13.788239,100.513795,46
purple_gold,13.791613,100.516246,47
purple_gold,13.797261,100.521353,48
purple_gold,13.79531,100.526085,49
purple_gold,13.806333,100.53086,50
purple_gold,13.822693,100.532831,51
purple_gold,13.82349,100.532868,52
purple_gold,13.824328,100.532584,53
purple_gold,13.825131,100.532123,54
purple_gold,13.825579,100.531597,55
purple_gold,13.832163,100.523787,56
purple_gold,13.841247,100.513229,57
purple_gold,13.84156,100.512814,58
purple_gold,13.842082,100.512376,59
purple_gold,13.842918,100.512081,60
purple_gold,13.843764,100.512075,61
purple_gold,13.844673,100.512391,62
purple_gold,13.846536,100.513463,63
purple_gold,13.854223,100.518652,64
purple_gold,13.85499,100.518826,65
purple_gold,13.855799,100.518763,66
purple_gold,13.85652,100.518487,67
purple_gold,13.858733,100.517313,68
purple_gold,13.859308,100.516844,69
purple_gold,13.859696,100.516268,70
purple_gold,13.859909,100.515588,71
purple_gold,13.860656,100.50977,72
purple_gold,13.861316,100.506195,73
purple_gold,13.86208,100.503415,74
purple_gold,13.863566,100.498926,75
purple_gold,13.869892,100.486467,76
purple_gold,13.870213,100.485569,77
purple_gold,13.87042,100.484618,78
purple_gold,13.870557,100.482762,79
purple_gold,13.870408,100.480331,80
purple_gold,13.8697,100.471838,81
purple_gold,13.869822,100.469793,82
purple_gold,13.870151,100.468176,83
purple_gold,13.870695,100.466146,84
purple_gold,13.8712,100.464119,85
purple_gold,13.87283,100.460569,86
purple_gold,13.874965,100.455636,87
purple_gold,13.876246,100.452905,88
purple_gold,13.876755,100.451057,89
purple_gold,13.876938,100.449179,90
purple_gold,13.876767,100.446828,91
purple_gold,13.87607,100.43775,92
purple_gold,13.87451,100.416633,93
purple_gold,13.874441,100.414128,94
purple_gold,13.874761,100.41286,95
purple_gold,13.87531,100.411507,96
purple_gold,13.876367,100.410345,97
purple_gold,13.877854,100.40948,98
purple_gold,13.892515,100.40821,99
